	Unnamed: 0	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	0	CAM5-GCM	0.7076256275177002	0.7745358943939209	0.7905178070068359	214.80661010742188	216.707763671875	217.65277099609372	9.665443420410156	11.093891143798828	12.526745796203613	0.7098039215686275	0.8117647058823529	0.4196078431372549	1.0
1	1	CAM6-GCM	0.9936851859092712	0.9763063788414	0.9150606393814088	214.5399475097656	214.3060760498047	215.0117950439453	9.645384788513184	11.045675277709961	12.381221771240234	0.807843137254902	0.8588235294117647	0.611764705882353	1.0
2	2	CNRM-CM6	0.9284564256668092	0.9573306441307068	0.9621611833572388	203.1192169189453	201.9298095703125	202.8842315673828	10.866037368774414	12.38674259185791	14.044075012207033	0.9058823529411764	0.1607843137254902	0.5411764705882353	1.0
3	3	GEOS-GCM	0.2960125505924225	0.3684924840927124	0.4401155412197113	215.80758666992188	232.69073486328125	212.2667694091797	9.850634574890137	9.067965507507324	13.690255165100098	0.9843137254901959	0.5019607843137255	0.4470588235294118	1.0
4	4	UKMO-GA7.1	0.9562326073646544	0.9058274626731871	0.8801908493041992	210.57989501953125	211.98655700683597	208.49298095703125	10.928831100463867	12.035201072692873	13.795328140258787	0.4823529411764706	0.2549019607843137	0.4509803921568628	1.0
5	5	WRF-GCM-cps0	0.8189674019813538	0.8119350075721741	0.7709072828292847	205.2861785888672	206.93408203125	208.6165771484375	11.202991485595703	12.284591674804688	13.517395973205565	0.4196078431372549	0.4313725490196079	0.8117647058823529	1.0
6	6	WRF-GCM-cps1	0.8714057207107544	0.8663297295570374	0.8579451441764832	206.25454711914062	208.2311248779297	211.68865966796875	11.236661911010742	12.324972152709961	13.616026878356935	0.611764705882353	0.6196078431372549	0.8705882352941177	1.0
7	7	WRF-GCM-cps2	0.8020421862602234	0.7451635599136353	0.7230039238929749	208.3344268798828	211.70480346679688	214.5614776611328	11.364578247070312	12.507200241088867	13.793109893798828	0.4588235294117647	0.4196078431372549	0.6941176470588235	1.0
8	8	WRF-GCM-cps3	0.9442263841629028	0.7887500524520874	0.733012318611145	203.3082275390625	205.89193725585938	215.630859375	12.032267570495605	13.333922386169435	13.817390441894533	0.6196078431372549	0.6039215686274509	0.7843137254901961	1.0
9	9	WRF-GCM-cps4	0.9499405026435852	0.6909474730491638	0.8976925611495972	203.6204376220703	211.91229248046875	217.76004028320312	12.019591331481935	12.375995635986328	13.743422508239744	0.7372549019607844	0.7411764705882353	0.8627450980392157	1.0
10	10	WRF-GCM-cps6	0.9646060466766356	0.9924438595771791	0.9910563230514526	203.51666259765625	205.9927673339844	209.0155792236328	12.053141593933105	13.279134750366213	14.704275131225586	0.8549019607843137	0.8549019607843137	0.9215686274509804	1.0
0	0	CM1	0.5943130254745483	0.5683075189590454	0.5483140349388123	207.3788146972656	209.86294555664062	210.00802612304688	11.0	12.0	13.5	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	1	CM1-VER	0.4806792736053467	0.4705218374729157	0.4881868064403534	212.671630859375	213.08384704589844	212.02784729003903	10.399999618530273	11.600000381469727	13.199999809265135	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
2	2	CM1-LES	0.5144355893135071	0.48324239253997797	0.4415159523487091	212.08135986328125	215.8623046875	214.8673248291016	10.399999618530273	11.199999809265137	12.800000190734865	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
3	3	DALES	0.15193645656108856	0.28522711992263794	0.033342644572258	207.22280883789062	216.9714508056641	235.4477386474609	11.0	11.0	11.0	0.4	0.4	0.4	1.0
4	4	DALES-VER	0.12226081639528275	0.26945173740386963	0.13867823779582975	221.826171875	223.1741943359375	227.7061462402344	9.600000381469727	11.0	12.399999618530273	0.32941176470588235	0.3331495022594265	0.45441164194859995	1.0
5	5	DALES-LES	0.25890737771987915	0.2938770651817322	0.1452958583831787	211.66163635253903	218.30126953125	220.3876495361328	10.399999618530273	11.0	12.800000190734865	0.4392156862745098	0.4841298686810369	0.5642155882230956	1.0
6	6	DALES-damping	0.15901429951190948	0.42200419306755066	0.030183734372258183	207.1300201416016	216.119384765625	237.0807342529297	11.0	11.0	11.0	0.5490196078431373	0.6351102351026474	0.6740195344975912	1.0
7	7	DALES-damping-VER	0.10399967432022096	0.07953779399394989	0.040711164474487305	204.4854736328125	214.5599822998047	218.7563781738281	11.199999809265137	11.199999809265137	13.199999809265135	0.6622241431064959	0.7838235294117647	0.7838234807720867	1.0
8	8	DALES-damping-rad-VER	0.05389800295233727	0.0642884373664856	0.03426483273506165	219.90374755859372	214.1085662841797	229.29193115234372	9.199999809265137	11.199999809265137	11.600000381469727	0.8337928323222441	0.8936274509803921	0.8936274270465824	1.0
9	9	DAM	0.24493195984479	0.2074924728826905	0.1743043068574404	211.19712877707383	213.52340959668717	214.22351778792546	10.5	11.5	13.0	0.4	0.7607843137254902	0.6470588235294118	1.0
10	10	ICON-LEM-CRM	0.9998796582221984	0.9989864230155944	0.9887051582336426	199.17645263671875	198.7927398681641	198.84689331054688	12.447267532348633	13.947267532348633	15.947267532348633	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
11	11	ICON-LEM-VER	0.9981618523597716	0.9862931370735168	0.9165118336677552	198.0559539794922	198.57542419433597	199.92984008789062	13.75712776184082	14.357128143310547	15.557127952575685	0.9058823529411764	0.7294117647058823	0.3215686274509804	1.0
12	12	ICON-LEM-LES	0.9959840178489684	0.9859637022018432	0.8813682198524475	196.17259216308597	197.9514923095703	199.7496337890625	14.557127952575685	14.75712776184082	15.75712776184082	0.9058823529411764	0.7960784313725491	0.5803921568627451	1.0
13	13	ICON-NWP-CRM	0.3236202001571655	0.3175026178359985	0.3237815797328949	217.9328765869141	219.76388549804688	220.0824737548828	9.447267532348633	10.447267532348633	11.947267532348633	0.5490196078431373	0.4274509803921568	0.19215686274509805	1.0
14	14	MESONH	0.16638632118701935	0.15484268963336945	0.1502326726913452	226.2562255859375	227.98666381835938	228.1354217529297	8.5	9.5	11.0	0.9019607843137256	0.3333333333333333	0.05098039215686274	1.0
15	15	MESONH-VER	0.16069000959396362	0.151884526014328	0.15155881643295288	227.01849365234372	226.71697998046875	227.25523376464844	8.600000381469728	9.800000190734863	11.199999809265137	0.992156862745098	0.5529411764705883	0.2352941176470588	1.0
16	16	MESONH-LES	0.1840255856513977	0.19583098590373996	0.1937073916196823	223.6961212158203	223.7094268798828	223.66864013671875	8.800000190734863	10.0	11.399999618530273	0.992156862745098	0.6823529411764706	0.4196078431372549	1.0
17	17	MicroHH	0.1071443408727646	0.10642614960670473	0.10964753478765488	209.9730682373047	211.28680419921875	210.09197998046875	11.5	12.5	14.0	0.5960784313725489	0.3058823529411765	0.6392156862745098	1.0
18	18	MicroHH-VER	0.08017672598361969	0.08151911944150925	0.08156535029411316	217.69093322753903	217.1160125732422	216.8033447265625	10.600000381469727	11.800000190734865	13.199999809265135	0.5803921568627451	0.403921568627451	0.7411764705882353	1.0
19	19	MicroHH-LES	0.08080366253852844	0.07500218600034714	0.05322400107979775	200.3741607666016	201.0699157714844	201.2227783203125	12.399999618530273	13.399999618530273	14.600000381469727	0.7725490196078432	0.6901960784313725	0.8352941176470589	1.0
20	20	MPAS	0.16366799175739288	0.12693077325820926	0.10036012530326843	208.44776916503903	205.8912353515625	209.4375915527344	10.25	11.75	12.75	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
21	21	SAM-CRM	0.2630043923854828	0.24131011962890625	0.2036760151386261	210.19314575195312	212.7416076660156	217.8679962158203	10.5	11.5	12.5	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
22	22	SAM-CRM-VER	0.1252029985189438	0.1187293976545334	0.11010817438364028	213.0856170654297	210.9696807861328	207.7475891113281	10.199999809265137	11.800000190734865	14.0	0.8392156862745098	0.3803921568627451	0.4196078431372549	1.0
23	23	SAM-CRM-LES	0.2180652618408203	0.17829813063144684	0.13241927325725555	203.85032653808597	205.45578002929688	206.81069946289062	11.199999809265137	12.399999618530273	14.0	0.9058823529411764	0.5882352941176471	0.611764705882353	1.0
24	24	SCALE	0.23843081295490265	0.2481366991996765	0.21673476696014404	202.6908264160156	204.22601318359372	204.26597595214844	11.0	12.0	13.5	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
25	25	UCLA-CRM	0.07803060114383698	0.08210611343383789	0.0625835582613945	216.7752685546875	216.04185485839844	217.7084045410156	11.0	12.5	14.0	1.0	0.9294117647058824	0.4352941176470588	1.0
26	26	UKMO-CASIM	0.2967666685581207	0.30498310923576355	0.3197093904018402	199.49383544921875	198.54254150390625	198.96646118164062	12.125	13.625760078430176	15.287474632263185	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
27	27	UKMO-RA1-T-hrad	1.0	0.9999999986111109	0.9999998319444446	188.25371732806968	189.66799552528892	194.1228030332444	15.538207500000002	17.276285	18.79331	0.807843137254902	0.4274509803921568	0.7411764705882353	1.0
28	28	UKMO-RA1-T	1.0	0.9999999944444444	0.9999997673611108	188.24191520453175	192.0608515095443	198.8338959169624	15.538207500000002	16.651285	17.276285	0.8705882352941177	0.6196078431372549	0.8392156862745098	1.0
29	29	UKMO-RA1-T-nocloud	1.0	1.0	0.9999998807907104	193.89935302734372	196.11410522460938	196.2206573486328	13.625760078430176	14.6643648147583	17.27628517150879	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
30	30	WRF-COL-CRM	0.4447847008705139	0.4541341066360474	0.4422693848609924	210.6979217529297	211.0086212158203	208.9219207763672	11.054046548018686	12.341939453125	14.238387482756979	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
31	31	WRF-CRM	0.2470759600400925	0.18578940629959104	0.2571905255317688	195.75650024414062	199.5408477783203	215.4183654785156	13.434289932250975	13.93386459350586	13.434289932250975	0.3215686274509804	0.32941176470588235	0.6392156862745098	1.0
