,Unnamed: 0,LABEL,RDFULL295,RDFULL300,RDFULL305,PAFULL295,PAFULL300,PAFULL305,ZGFULL295,ZGFULL300,ZGFULL305,TAFULL295,TAFULL300,TAFULL305,RD300S295,RD300S300,RD300S305,PA300S295,PA300S300,PA300S305,ZG300S295,ZG300S300,ZG300S305,TA300S295,TA300S300,TA300S305,RD300Q295,RD300Q300,RD300Q305,PA300Q295,PA300Q300,PA300Q305,ZG300Q295,ZG300Q300,ZG300Q305,TA300Q295,TA300Q300,TA300Q305,STAB295,STAB300,STAB305,S220295,S220300,S220305,Cr,Cb,Cg,Ca
0,0,CAM5-GCM,0.445985432300134,0.3583327497422736,0.3017864663295209,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,0.3044488621234149,0.3583327497422736,0.4434125839281958,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,0.5477739394305973,0.3583327497422736,0.2630825590684384,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,40.633531170897186,56.945666437968605,57.34165315516292,24.08885338809341,37.816603435203426,57.34165315516292,0.7098039215686275,0.8117647058823529,0.4196078431372549,1.0
1,1,CAM6-GCM,0.4092471014056903,0.3934403018228005,0.2115701818488961,27539.140625,23365.775390625,23383.966796875,9.7345615234375,11.0787841796875,11.524724609375,217.3567657470703,216.5982818603516,230.2418670654297,0.3413892705953821,0.3934403018228005,0.4341602494285896,23360.462890625,23365.775390625,23383.966796875,10.7554716796875,11.0787841796875,11.524724609375,208.6003875732422,216.5982818603516,230.2418670654297,0.4756166251647122,0.3934403018228005,0.19462885127161772,23360.462890625,23365.775390625,23383.966796875,10.7554716796875,11.0787841796875,11.524724609375,208.6003875732422,216.5982818603516,230.2418670654297,26.61376784089953,39.37206056434661,67.47376755811274,26.61376784089953,39.37206056434661,92.52939489670099,0.807843137254902,0.8588235294117647,0.611764705882353,1.0
2,2,CM1,0.7556104443428059,0.6534706151533288,0.4789081084637683,26668.70703125,22125.095703125,18713.697265625,10.0,11.5,13.0,217.15499877929688,216.09071350097656,219.4003143310547,0.4938295701532754,0.6534706151533288,0.7171631332156009,24633.833984375,22125.095703125,20214.333984375,10.5,11.5,12.5,212.90892028808597,216.09071350097656,223.10617065429688,0.8376626206571939,0.6534706151533288,0.4045370857336173,22718.4609375,22125.095703125,23495.44140625,11.0,11.5,11.5,208.7985992431641,216.09071350097656,230.793701171875,28.591719456017017,46.15076759364456,85.61076247133316,24.97684326954186,39.724979433231056,85.61076247133316,0.19215686274509805,0.5098039215686274,0.7411764705882353,1.0
3,3,CNRM-CM6,0.7536761270548233,0.6212405981458762,0.5654032058039963,27259.005859375,22566.701171875,17464.08984375,9.799375,11.379794921875,13.508302734375,216.34130859375,216.9686584472656,216.7525634765625,0.5410446773988924,0.6212405981458762,0.7258242160672768,25600.400390625,22566.701171875,19869.828125,10.192072265625,11.379794921875,12.6777109375,212.9069366455078,216.9686584472656,223.81362915039062,0.7491705506237873,0.6212405981458762,0.3622487317139945,24040.736328125,22566.701171875,21181.931640625,10.5804697265625,11.379794921875,12.2537900390625,209.5560760498047,216.9686584472656,227.3988800048828,21.78192953579128,31.083161593414847,50.237856339663274,18.503822502680126,26.96215233299881,43.63180487416685,0.9058823529411764,0.1607843137254902,0.5411764705882353,1.0
4,4,DAM,0.6775671465535352,0.6030706120247615,0.52689260818313,24931.706810433512,22409.53859350539,18816.925915460204,10.5,11.5,13.0,213.59007259089168,217.0594126131432,218.06869408873158,0.3977216259952444,0.6030706120247615,0.6624183340366857,24931.706810433512,22409.53859350539,21946.958218197928,10.5,11.5,12.0,213.59007259089168,217.0594126131432,226.3055271497701,0.7831272305211798,0.6030706120247615,0.32768224263709755,22995.663265451425,22409.53859350539,21946.958218197928,11.0,11.5,12.0,209.30414629100758,217.0594126131432,226.3055271497701,26.45474198521141,37.19213025322947,57.39390356503311,20.680618108157717,30.793980892135487,57.39390356503311,0.4,0.7607843137254902,0.6470588235294118,1.0
5,5,GEOS-GCM,0.7359892260896488,0.5783695561673484,0.33226856532514537,26719.541015625,22680.849609375,16366.1484375,10.0320390625,11.431943359375,14.0905341796875,218.43907165527344,219.452880859375,217.68194580078125,0.4418420728020728,0.5783695561673484,0.5608341252293443,22678.666015625,22680.849609375,19260.201171875,11.0586669921875,11.431943359375,13.0337470703125,209.57081604003903,219.452880859375,226.1631774902344,0.7763752361605761,0.5783695561673484,0.26485349400113395,26719.541015625,22680.849609375,19260.201171875,10.0320390625,11.431943359375,13.0337470703125,218.43907165527344,219.452880859375,226.1631774902344,21.996496070642024,32.38737990614027,72.43101135827601,129656.62479400635,194515.18058776853,473367.3095703125,0.9843137254901959,0.5019607843137255,0.4470588235294118,1.0
6,6,ICON-LEM-CRM,1.1004617165626098,1.08639417580149,0.9602084793523232,23157.5,20725.775390625,17535.060546875,10.947267578125,11.947267578125,13.447267578125,210.5105133056641,212.8306121826172,215.74090576171875,0.7211122138852141,1.08639417580149,1.4518291575013125,21334.2890625,20725.775390625,20481.681640625,11.447267578125,11.947267578125,12.447267578125,206.16339111328125,212.8306121826172,224.2414093017578,1.41661717875593,1.08639417580149,0.5242634214664154,21334.2890625,20725.775390625,18965.435546875,11.447267578125,11.947267578125,12.947267578125,206.16339111328125,212.8306121826172,219.9844512939453,24.954963009804487,31.45914524793625,49.49062131345272,17.488501907791942,24.082376330625266,42.81612054910511,0.7411764705882353,0.6196078431372549,0.2235294117647059,1.0
7,7,MESONH,0.5877918230596995,0.4990032136186167,0.4156533806084093,27786.6875,21443.146484375,19450.73828125,9.5,11.5,12.5,220.36166381835938,216.5778961181641,221.834716796875,0.3775745093283951,0.4990032136186167,0.5753510636299146,23728.09375,21443.146484375,22623.71484375,10.5,11.5,11.5,212.16416931152344,216.5778961181641,229.9518280029297,0.5772062576440551,0.4990032136186167,0.31937929113133456,25696.5625,21443.146484375,20991.572265625,10.0,11.5,12.0,216.1158599853516,216.5778961181641,225.8702850341797,26.060608797706667,52.504177438095205,60.893635964021094,26.060608797706667,38.281292654573924,60.893635964021094,0.9019607843137256,0.3333333333333333,0.05098039215686274,1.0
8,8,MPAS,0.9239395758911664,0.9154806588027038,0.8926051980977896,26410.380859375,23657.869140625,19665.54296875,10.0,11.0,12.5,214.86741638183597,217.49549865722656,216.5068817138672,0.6068251106224669,0.9154806588027038,1.1554822091604828,22456.970703125,23657.869140625,22937.857421875,11.0,11.0,11.5,206.3242950439453,217.49549865722656,224.9309844970703,1.1119139012829764,0.9154806588027038,0.5607603497188479,24373.96484375,23657.869140625,21259.404296875,10.5,11.0,12.0,210.4951934814453,217.49549865722656,220.7016906738281,22.408667427953333,28.776010731235147,47.26334009319544,18.816947704181075,24.915143148973584,39.807325811125345,0.5019607843137255,0.6941176470588235,0.8274509803921568,1.0
9,9,NICAM,0.7465674470027408,0.6651377199235267,0.6139057253176378,23737.8828125,18489.2578125,16331.41015625,10.762830078125,12.762830078125,13.962830078125,212.7389068603516,210.6092071533203,213.88134765625,0.5167969496446636,0.6651377199235267,0.9937684424819933,20835.80078125,18489.2578125,20299.943359375,11.562830078125,12.762830078125,12.562830078125,206.2300720214844,210.6092071533203,225.61297607421875,1.1828061053850565,0.6651377199235267,0.5236614686173371,23737.8828125,18489.2578125,18519.322265625,10.762830078125,12.762830078125,13.162830078125,212.7389068603516,210.6092071533203,220.5631256103516,32.64615661464632,50.07523577660322,60.10582437738776,23.038902145344768,33.353763865306966,46.109873801469796,1.0,1.0,0.2,1.0
10,10,SAM0-UNICON,0.3915386773356485,0.2899200531014073,0.2438966267903684,23382.51171875,19816.326171875,16824.04296875,10.8599541015625,12.306783203125,13.806494140625,210.5600128173828,212.93148803710938,216.22254943847656,0.2572020178428953,0.2899200531014073,0.28112660853017496,23382.51171875,19816.326171875,16824.04296875,10.8599541015625,12.306783203125,13.806494140625,210.5600128173828,212.93148803710938,216.22254943847656,0.4289446352184151,0.2899200531014073,0.2784886879816608,23382.51171875,19816.326171875,19816.330078125,10.8599541015625,12.306783203125,12.7502236328125,210.5600128173828,212.93148803710938,224.3081359863281,39.42319308407605,56.34024273604154,83.6178136523813,25.24801529943943,42.471938650123775,83.6178136523813,0.5490196078431373,0.6352941176470588,0.3215686274509804,1.0
11,11,SAM-CRM,0.6682934269801626,0.5700159162039148,0.4704647063763654,24724.16015625,22373.853515625,17669.291015625,10.5,11.5,13.5,213.4621124267578,218.8212738037109,218.67999267578125,0.449570696679601,0.5700159162039148,0.4267080595461022,22801.412109375,22373.853515625,20596.01953125,11.0,11.5,12.5,209.1068572998047,218.8212738037109,226.83995056152344,0.7561860701720076,0.5700159162039148,0.3627167558810566,22801.412109375,22373.853515625,20596.01953125,11.0,11.5,12.5,209.1068572998047,218.8212738037109,226.83995056152344,23.707465152256194,38.699977449141436,61.462080338969834,18.65404046839103,38.699977449141436,61.462080338969834,0.6784313725490196,0.28627450980392155,0.2901960784313726,1.0
12,12,SAM-GCRM,0.6323904471388483,0.4172982938322507,0.29382114979718643,22471.33203125,21861.53515625,13121.0009765625,11.0,11.5,14.5,210.3456573486328,221.56153869628903,212.6040954589844,0.3556736848165836,0.4172982938322507,0.4241189195138798,20661.009765625,21861.53515625,20156.32421875,11.5,11.5,12.0,206.07843017578125,221.56153869628903,232.9143218994141,0.6808782705278663,0.4172982938322507,0.20070977215721897,20661.009765625,21861.53515625,20156.32421875,11.5,11.5,12.0,206.07843017578125,221.56153869628903,232.9143218994141,33.88627083040774,60.70674862712622,130.98614290356636,22.339474526233968,60.70674862712622,100.18248576670885,0.5176470588235295,0.2352941176470588,0.2235294117647059,1.0
13,13,SCALE,0.8934516106675398,0.7794496685259509,0.6729506369939995,26404.673828125,21918.173828125,18498.5078125,10.0,11.5,13.0,214.3272705078125,213.5797119140625,215.92291259765625,0.5733618686038946,0.7794496685259509,1.3113603007992036,22443.6171875,21918.173828125,23298.216796875,11.0,11.5,11.5,205.9480743408203,213.5797119140625,228.18186950683597,1.5183206690350013,0.7794496685259509,0.4704613246893817,26404.673828125,21918.173828125,21604.30078125,10.0,11.5,12.0,214.3272705078125,213.5797119140625,224.0885162353516,24.123680486809462,43.993067811243236,62.428176170215,19.39618377946317,29.61476275231689,51.217054715380065,0.10588235294117647,0.6196078431372549,0.4666666666666667,1.0
14,14,SP-CAM,0.521873165551225,0.4531111291766036,0.4206291818911087,22857.330078125,19426.234375,16512.15625,11.0040595703125,12.3751923828125,13.858626953125,210.7254638671875,211.41796875,214.5338897705078,0.3740624378322261,0.4531111291766036,0.5940389219093614,22857.330078125,19426.234375,19454.931640625,11.0040595703125,12.3751923828125,12.81088671875,210.7254638671875,211.41796875,222.9665679931641,0.5951043811117073,0.4531111291766036,0.29559827341887923,22857.330078125,19426.234375,19454.931640625,11.0040595703125,12.3751923828125,12.81088671875,210.7254638671875,211.41796875,222.9665679931641,37.986208917573094,55.29667250812054,85.4458601679653,23.17861217306927,35.298935836181045,56.8262825254351,0.09019607843137256,0.7450980392156863,0.8117647058823529,1.0
15,15,SPX-CAM,0.568325261667871,0.4390133820379685,0.377264602427116,22855.5390625,19427.080078125,16513.373046875,11.0681796875,12.525384765625,14.0230859375,212.43312072753903,215.61817932128903,219.36129760742188,0.3113619831491187,0.4390133820379685,0.5216020407666506,22855.5390625,19427.080078125,19455.849609375,11.0681796875,12.525384765625,12.9531142578125,212.43312072753903,215.61817932128903,227.57032775878903,0.6355714838960392,0.4390133820379685,0.2596099950105941,22855.5390625,19427.080078125,16513.373046875,11.0681796875,12.525384765625,14.0230859375,212.43312072753903,215.61817932128903,219.36129760742188,35.36525182425976,58.01583174616098,98.86365151032804,23.710950335953388,1066.8297298252583,98.86365151032804,0.6196078431372549,0.8549019607843137,0.8980392156862745,1.0
16,16,UKMO-GA7.1,0.6002597847160502,0.4546356114620979,0.31833801796371713,23536.57421875,19260.70703125,17150.955078125,10.9301240234375,12.6107392578125,13.7986806640625,214.4744415283203,214.9139404296875,220.92669677734372,0.3701300898680547,0.4546356114620979,0.5491445904408935,21551.72265625,19260.70703125,18802.166015625,11.4769052734375,12.6107392578125,13.1979072265625,209.6644287109375,214.9139404296875,225.7108459472656,0.7204192919495702,0.4546356114620979,0.2696765553748637,21551.72265625,19260.70703125,20530.96875,11.4769052734375,12.6107392578125,12.6107392578125,209.6644287109375,214.9139404296875,230.4290008544922,24.719120119698342,44.73114386200905,71.52913021855056,21.596376609522853,37.033285479992635,71.52913021855056,0.4823529411764706,0.2549019607843137,0.4509803921568628,1.0
17,17,UKMO-CASIM,0.8165286813359752,0.6236199385234686,0.518194747070483,25354.912109375,22835.44921875,20028.802734375,10.375,11.375,12.625,216.03038024902344,219.87062072753903,224.4331359863281,0.4189400774879821,0.6236199385234686,0.9679358559099946,23409.978515625,22835.44921875,22414.412109375,10.875,11.375,11.875,211.71734619140625,219.87062072753903,230.56292724609372,1.1601855960806102,0.6236199385234686,0.2888147502917433,25354.912109375,22835.44921875,22414.412109375,10.375,11.375,11.875,216.03038024902344,219.87062072753903,230.56292724609372,23.701746249571446,31.47255629301071,54.81505650095642,18.43311038101092,31.47255629301071,68.5677630826831,0.6470588235294118,0.3176470588235294,0.5803921568627451,1.0
18,18,UKMO-RA1-T,0.9348230568019844,0.655586540709041,0.4804875042450351,22609.032495070067,18983.300204365834,16935.90039492046,11.125,12.625,13.877385,210.6283479930904,212.11725264050003,220.03837558562364,0.5207248128969566,0.655586540709041,1.0079698710213312,20831.29683158667,18983.300204365834,20474.109565501974,11.625,12.625,12.625,206.250946115124,212.11725264050003,230.6470369151133,1.0837421347199057,0.655586540709041,0.32032271149424296,22609.032495070067,18983.300204365834,19000.739965094257,11.125,12.625,13.125055,210.6283479930904,212.11725264050003,226.42481931008905,22.14101470768018,38.08342208926296,51.251906520518894,15.341705646739507,24.497209414289287,51.251906520518894,0.807843137254902,0.4274509803921568,0.7411764705882353,1.0
19,19,UKMO-RA1-T-nocloud,0.7728628568003537,0.5679313627404415,0.430256788296538,24396.107421875,20417.67578125,17983.232421875,10.625,12.125,13.37521484375,214.21192932128903,214.9617462158203,220.2040557861328,0.4115135979522265,0.5679313627404415,0.9633238654060372,21608.275390625,20417.67578125,21732.15234375,11.375,12.125,12.125,207.9070587158203,214.9617462158203,230.6113739013672,0.9815034016135891,0.5679313627404415,0.2617131084821827,24396.107421875,20417.67578125,20168.32421875,10.625,12.125,12.625,214.21192932128903,214.9617462158203,226.44288635253903,24.36202776152641,37.401221925392754,56.507106637582176,17.233367543667555,27.85657998174429,56.507106637582176,0.8901960784313725,0.4666666666666667,0.7607843137254902,1.0
