	LABEL	RDFULL295	RDFULL300	RDFULL305	PAFULL295	PAFULL300	PAFULL305	ZGFULL295	ZGFULL300	ZGFULL305	TAFULL295	TAFULL300	TAFULL305	RD300S295	RD300S300	RD300S305	PA300S295	PA300S300	PA300S305	ZG300S295	ZG300S300	ZG300S305	TA300S295	TA300S300	TA300S305	RD300Q295	RD300Q300	RD300Q305	PA300Q295	PA300Q300	PA300Q305	ZG300Q295	ZG300Q300	ZG300Q305	TA300Q295	TA300Q300	TA300Q305	STAB295	STAB300	STAB305	S220295	S220300	S220305	Cr	Cb	Cg	Ca
0	CAM5-GCM	1.31090973486964	1.4852940719572587	1.8234612200421236	23366.783203125	19814.51953125	16824.78515625	10677.171875	12116.1630859375	13545.9931640625	205.17886352539062	207.10794067382812	208.01348876953125	0.988833683446378	1.4852940719572587	2.112532572014502	23366.783203125	19814.51953125	19814.51953125	10677.171875	12116.1630859375	12526.74609375	205.17886352539062	207.10794067382812	217.65277099609375	2.0179474412517373	1.4852940719572587	1.0979378369244392	23366.783203125	19814.51953125	19814.51953125	10677.171875	12116.1630859375	12526.74609375	205.17886352539062	207.10794067382812	217.65277099609375	15.122932381927967	15.908040222711861	16.570190200582147	14.88652778789401	12.133284326409921	13.879005564376712	0.7098039215686275	0.8117647058823529	0.4196078431372549	1.0
1	CAM6-GCM	0.7995016353074431	1.0609368403578188	0.4014922282761189	23366.783203125	23366.783203125	16824.78515625	10655.0302734375	11045.6748046875	13391.4052734375	205.15621948242188	214.3060760498047	206.71148681640625	0.7364889239342814	1.0609368403578188	1.1641966719017236	23366.783203125	23366.783203125	19814.51953125	10655.0302734375	11045.6748046875	12381.2216796875	205.15621948242188	214.3060760498047	215.0117950439453	1.1889309701975934	1.0609368403578188	0.4476413083937935	23366.783203125	23366.783203125	19814.51953125	10655.0302734375	11045.6748046875	12381.2216796875	205.15621948242188	214.3060760498047	215.0117950439453	36.16386675275862	18.193326832260936	59.107562992721796	1659.86567735672	16.230784240178764	44.060967047698796	0.807843137254902	0.8588235294117647	0.611764705882353	1.0
2	CM1	1.449548437767706	1.3609342981725754	1.2265818342613433	24590.974609375	22033.587890625	18459.57421875	10500.0	11500.0	13000.0	211.7999267578125	214.19357299804688	214.20440673828125	0.8077911848107151	1.3609342981725754	1.6194634071070924	22667.8359375	22033.587890625	21580.576171875	11000.0	11500.0	12000.0	207.37881469726562	214.19357299804688	222.87496948242188	1.8793182229844678	1.3609342981725754	0.6350911336571098	22667.8359375	22033.587890625	21580.576171875	11000.0	11500.0	12000.0	207.37881469726562	214.19357299804688	222.87496948242188	20.60624392470345	28.32926984410733	41.964411502704024	16.072994912974536	23.624973255209625	34.67351198196411	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
3	CM1-VER	1.5979829723632046	1.2994557834612948	1.4217037344044612	23417.85546875	21667.01171875	19026.091796875	10800.0	11600.0	12800.0	209.05624389648438	213.08384704589844	215.4522705078125	0.821355271691363	1.2994557834612948	1.9067224120217134	23417.85546875	21667.01171875	21553.59765625	10800.0	11600.0	12000.0	209.05624389648438	213.08384704589844	222.43016052246094	2.7397539748622664	1.2994557834612948	0.7066306480273755	22662.32421875	21667.01171875	19636.068359375	11000.0	11600.0	12600.0	207.2802276611328	213.08384704589844	217.19215393066406	21.118174481671304	27.554153348319232	36.14691668190062	16.46294113015756	23.15259480383247	31.567970290780067	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
4	CM1-LES	1.644349756813	1.4505633432640734	1.3104532769940644	23404.80078125	20960.03125	19024.166015625	10800.0	11800.0	12800.0	208.43179321289062	210.46559143066406	214.86732482910156	0.9839670641533116	1.4505633432640734	2.4801510908829276	21908.3125	20960.03125	20902.638671875	11200.0	11800.0	12200.0	204.85397338867188	210.46559143066406	220.12908935546875	2.9241104870639436	1.4505633432640734	0.8520150076924762	22647.435546875	20960.03125	20902.638671875	11000.0	11800.0	12200.0	206.62811279296875	210.46559143066406	220.12908935546875	18.054511747322977	24.187586677726358	33.74280349817127	13.804150512441993	19.295122183393687	29.77128606289625	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
5	CNRM-CM6	1.3255144701625756	1.0880068370910154	0.8254184671226946	25607.083984375	21185.720703125	17471.8671875	10103.5048828125	11615.609375	13256.1318359375	209.9727020263672	208.5549774169922	209.4293670654297	0.6487886244096359	1.0880068370910154	1.7111605575265691	22583.93359375	21185.720703125	19873.826171875	10866.037109375	11615.609375	12451.58203125	203.1192169189453	208.5549774169922	216.4080810546875	1.9636113479102226	1.0880068370910154	0.5303335215651617	24057.46875	21185.720703125	21185.720703125	10486.8544921875	11615.609375	12042.9794921875	206.4875946044922	208.5549774169922	219.92019653320312	14.809764979872853	24.954884429462254	41.3212546845898	13.493407459463924	20.469607261475176	34.16614781599492	0.9058823529411765	0.1607843137254902	0.5411764705882353	1.0
6	DAM	1.1676329064961766	1.0202957541972897	0.8171870922434838	24598.8170920306	22020.20241347114	18478.484094712738	10500.0	11500.0	13000.0	211.1971287770738	213.52340959668715	214.22351778792543	0.5907509466944669	1.0202957541972897	1.2784296228394836	22666.988219273288	22020.20241347114	21607.153426037374	11000.0	11500.0	12000.0	206.7627127481789	213.52340959668715	222.91639035991108	1.5821891059242974	1.0202957541972897	0.44170288670261315	24598.8170920306	22020.20241347114	19997.238214699686	10500.0	11500.0	12500.0	211.1971287770738	213.52340959668715	218.55108445091284	18.91779635656798	25.373830805560672	41.56803288597348	13.284610930473171	20.70941565461765	33.974358865749466	0.4	0.7607843137254902	0.6470588235294118	1.0
7	GEOS-GCM	0.6309103059054844	1.0226240439332575	0.55686489560483	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	0.5523542695657622	1.0226240439332575	1.5780419501417418	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	0.7597834572125396	1.0226240439332575	0.44472853261382955	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	41.952673927880824	78.68414395488799	74.00768809020519	135163.70058059692	134694.0279006958	266920.9957122803	0.984313725490196	0.5019607843137255	0.4470588235294118	1.0
8	ICON-LEM-CRM	1.8793045279306941	1.5771648988475058	1.4953943190433883	24826.92578125	20560.916015625	17318.623046875	10447.267578125	11947.267578125	13447.267578125	213.1471405029297	211.51976013183594	213.1784210205078	0.9044600512112424	1.5771648988475058	2.07329987607882	22894.98046875	20560.916015625	20263.599609375	10947.267578125	11947.267578125	12447.267578125	208.62521362304688	211.51976013183594	222.0085906982422	2.439954272060269	1.5771648988475058	0.7067347084482651	22894.98046875	20560.916015625	20263.599609375	10947.267578125	11947.267578125	12447.267578125	208.62521362304688	211.51976013183594	222.0085906982422	16.78841217653826	28.251143521629274	38.69310603477061	14.349292905535549	20.227213099133223	30.806061113253236	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
9	ICON-LEM-VER	1.367035313300212	1.2097865038022906	1.090023267736389	23702.9453125	19933.7109375	16504.84765625	10757.1279296875	12157.1279296875	13757.1279296875	211.29852294921875	210.2823944091797	210.7352294921875	0.8071752100555117	1.2097865038022906	2.407911449472058	22945.607421875	19933.7109375	19956.86328125	10957.1279296875	12157.1279296875	12557.1279296875	209.53024291992188	210.2823944091797	221.0810546875	2.4944143079736185	1.2097865038022906	0.6335304892934883	22206.365234375	19933.7109375	19956.86328125	11157.1279296875	12157.1279296875	12557.1279296875	207.79405212402344	210.2823944091797	221.0810546875	23.01064960192889	31.89780400134623	45.24260002654046	18.54598813224584	25.213728076778352	38.078948273323476	0.9058823529411765	0.7294117647058823	0.3215686274509804	1.0
10	ICON-LEM-LES	2.1477844598012883	1.9716227386427259	1.811671502583662	23667.369140625	19907.734375	16992.091796875	10757.1279296875	12157.1279296875	13557.1279296875	210.1681671142578	209.06304931640625	210.6127166748047	1.0845983788505318	1.9716227386427259	4.222315632219402	22164.814453125	19907.734375	20544.306640625	11157.1279296875	12157.1279296875	12357.1279296875	206.56822204589844	209.06304931640625	221.40005493164062	4.1382450041364125	1.9716227386427259	0.9425910586490537	22907.015625	19907.734375	19917.435546875	10957.1279296875	12157.1279296875	12557.1279296875	208.34805297851562	209.06304931640625	219.60833740234375	16.046971722971648	23.68878631386906	31.110452255234122	12.813924695365131	17.778128676582128	25.453389389440417	0.9058823529411765	0.796078431372549	0.5803921568627451	1.0
11	MESONH	0.9604915119821128	0.8283398959368603	0.6123782907309345	27499.091796875	24534.646484375	20540.55078125	9500.0	10500.0	12000.0	217.40391540527344	219.31820678710938	219.9312286376953	0.6065447946605782	0.8283398959368603	0.9732028848061597	25403.87109375	24534.646484375	25762.18359375	10000.0	10500.0	10500.0	213.27783203125	219.31820678710938	232.30580139160156	1.1540305911320239	0.8283398959368603	0.4265610793060371	27499.091796875	24534.646484375	23921.6484375	9500.0	10500.0	11000.0	217.40391540527344	219.31820678710938	228.1354217529297	28.759081033058465	34.518272150307894	60.42743916623294	19.675176008604467	34.518272150307894	60.42743916623294	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
12	MESONH-VER	1.329962268356556	0.9577069427892346	0.7825347603301831	26053.998046875	23992.8671875	21020.982421875	10000.0	10800.0	12000.0	214.4608917236328	217.9431915283203	220.44833374023438	0.8125851661609884	0.9577069427892346	1.1850085217938422	25234.50390625	23992.8671875	25207.52734375	10200.0	10800.0	10800.0	212.7388916015625	217.9431915283203	230.6702880859375	1.5416870307655612	0.9577069427892346	0.6214491360711349	25234.50390625	23992.8671875	22353.490234375	10200.0	10800.0	11600.0	212.7388916015625	217.9431915283203	223.83560180664062	25.19196132197976	29.892759630456567	41.56898648943752	16.809510998427868	26.916409842669964	41.56898648943752	0.9921568627450981	0.5529411764705883	0.23529411764705882	1.0
13	MESONH-LES	1.477902093519232	1.3323246306730763	1.006106007094605	22726.693359375	19673.109375	17230.0859375	10800.0	12000.0	13200.0	205.15025329589844	205.36102294921875	207.5756072998047	0.9172168201169836	1.3323246306730763	2.4964560951309682	20539.5625	19673.109375	20239.8671875	11400.0	12000.0	12200.0	199.69920349121094	205.36102294921875	216.513671875	2.5879742016359932	1.3323246306730763	0.7153648684781204	21979.595703125	19673.109375	22222.1015625	11000.0	12000.0	11600.0	203.3077850341797	205.36102294921875	221.88192749023438	13.596970529761165	18.630948034115136	30.919656273908913	10.81838272511959	15.206792159006	24.23081750748679	0.9921568627450981	0.6823529411764706	0.4196078431372549	1.0
14	MicroHH	0.3259980814149261	0.3083973305249649	0.3422498328298582	23145.82421875	20626.580078125	14561.138671875	11000.0	12000.0	14500.0	214.08619689941406	215.30136108398438	206.02940368652344	0.36891851840645984	0.3083973305249649	0.5911397387954518	23145.82421875	20626.580078125	15807.5634765625	11000.0	12000.0	14000.0	214.08619689941406	215.30136108398438	210.09197998046875	0.6122579979159734	0.3083973305249649	0.34776863989334295	18085.330078125	20626.580078125	20042.41015625	12500.0	12000.0	12500.0	201.5007781982422	215.30136108398438	221.93109130859375	42.41403948981315	53.65665419958532	68.65827017463744	39.74410647060722	50.07843137718737	60.7697234954685	0.596078431372549	0.3058823529411765	0.6392156862745098	1.0
15	MicroHH-VER	0.8328259222495994	0.47207922613297343	0.49518449664914294	16665.112332126348	21381.62396845812	18655.51944870141	13000.0	11800.0	13000.0	196.77464294433594	217.1160125732422	218.39593505859375	0.44432782127913234	0.47207922613297343	1.4383705379632357	23232.288409757217	21381.62396845812	15396.888400822887	11000.0	11800.0	14200.0	214.39520263671875	217.1160125732422	208.9729766845703	2.5216671016223233	0.47207922613297343	0.42752687459745564	16665.112332126348	21381.62396845812	21105.346166346095	13000.0	11800.0	12200.0	196.77464294433594	217.1160125732422	224.8580780029297	10.884054888738456	47.31349259203555	60.690998973529645	36.19903243302134	43.11838624343117	57.535282072257424	0.5803921568627451	0.403921568627451	0.7411764705882353	1.0
16	MicroHH-LES	4.036264810193903	2.518609945483652	0.8396414185523816	16626.346794173773	14853.76259924338	13428.27241757311	13000.0	14000.0	15000.0	194.5758819580078	195.32656860351562	197.5249786376953	1.6852583852163059	2.518609945483652	5.632535830239478	13914.356532321619	14853.76259924338	15840.463987872123	14000.0	14000.0	14000.0	185.99853515625	195.32656860351562	206.55848693847656	7.609434578590038	2.518609945483652	0.5210284722021452	16626.346794173773	14853.76259924338	12980.994654979268	13000.0	14000.0	15200.0	194.5758819580078	195.32656860351562	195.7392578125	3.8842829975179294	11.756633299054718	30.18143617189001	31.948437054640678	37.487608476051456	48.08288463248602	0.7725490196078432	0.6901960784313725	0.8352941176470589	1.0
17	MPAS	1.4505224133220447	1.1525014586549753	1.4937702686078704	25936.599609375	25008.9296875	20798.689453125	10000.0	10500.0	12000.0	210.3616180419922	216.12144470214844	215.20811462402344	0.7725745977599107	1.1525014586549753	2.0353747342539474	21970.568359375	25008.9296875	22486.39453125	11000.0	10500.0	11500.0	201.34942626953125	216.12144470214844	219.67649841308594	2.2797421043848334	1.1525014586549753	0.7968039694759502	25936.599609375	25008.9296875	20798.689453125	10000.0	10500.0	12000.0	210.3616180419922	216.12144470214844	215.20811462402344	13.116956688463688	17.013453179970384	29.614512459374964	14.071984332986176	16.803339531179518	22.482297208625823	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
18	SAM-CRM	1.605630023127382	1.459351174327621	1.321930547387504	24454.251953125	20251.0078125	18432.466796875	10500.0	12000.0	13000.0	210.19314575195312	208.16705322265625	213.40585327148438	1.1181010289388622	1.459351174327621	2.2366274771305417	22525.498046875	20251.0078125	21561.75	11000.0	12000.0	12000.0	205.60614013671875	208.16705322265625	222.3551025390625	2.20342748311134	1.459351174327621	0.8978575127959617	22525.498046875	20251.0078125	19951.927734375	11000.0	12000.0	12500.0	205.60614013671875	208.16705322265625	217.8679962158203	12.752237671520561	24.667748948559165	32.116504735313356	10.290343197993934	15.052891103550792	25.687229936011136	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
19	SAM-CRM-VER	1.2748519646941097	1.0040486991491742	0.7066335102278427	27347.9609375	23033.552734375	20953.546875	9800.0	11200.0	12200.0	216.6910400390625	216.05117797851562	221.69586181640625	0.6329948371828656	1.0040486991491742	1.4061205617787205	24852.724609375	23033.552734375	23654.56640625	10400.0	11200.0	11400.0	211.33226013183594	216.05117797851562	228.56585693359375	1.7445975137046665	1.0040486991491742	0.49509693367204566	25664.828125	23033.552734375	22956.26171875	10200.0	11200.0	11600.0	213.0856170654297	216.05117797851562	226.8441619873047	15.135381545405835	26.96222218219191	38.827836397103965	13.10868829023093	22.554937459062785	42.15743101667613	0.8392156862745098	0.3803921568627451	0.4196078431372549	1.0
20	SAM-CRM-LES	1.9624760986608192	1.9144099034653244	1.4934331392678581	27321.619140625	23771.619140625	19691.806640625	9800.0	11000.0	12600.0	216.36419677734375	217.56341552734375	218.16659545898438	1.062339993323711	1.9144099034653244	2.556632821085699	23255.931640625	23771.619140625	24368.939453125	10800.0	11000.0	11200.0	207.38243103027344	217.56341552734375	230.60060119628906	2.255118793172646	1.9144099034653244	0.7749618595086148	27321.619140625	23771.619140625	20953.5546875	9800.0	11000.0	12200.0	216.36419677734375	217.56341552734375	221.71853637695312	14.121537969913334	18.88667029561475	32.04357053618878	10.707846377044916	16.31828345125541	27.662000502459705	0.9058823529411765	0.5882352941176471	0.611764705882353	1.0
21	SCALE	1.6516819351364116	1.5059755624032416	1.2682085889261485	26122.259765625	23293.267578125	19427.537109375	10000.0	11000.0	12500.0	211.42144775390625	212.9078826904297	212.45858764648438	1.1227456218625071	1.5059755624032416	2.7523710230410074	22149.8671875	23293.267578125	24544.6484375	11000.0	11000.0	11000.0	202.69082641601562	212.9078826904297	225.72177124023438	2.9060773058358356	1.5059755624032416	0.9259395891128285	26122.259765625	23293.267578125	21035.53515625	10000.0	11000.0	12000.0	211.42144775390625	212.9078826904297	216.86402893066406	15.853338118176907	19.90448945434764	35.45536892488599	11.992292274953797	16.732484800741076	25.557831395417452	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
22	UKMO-GA7.1	1.0413248860501623	0.8175785953602178	0.7359329027210516	23038.326171875	20127.96484375	17448.837890625	11475.2236328125	12608.767578125	13795.328125	205.9552459716797	207.19927978515625	208.49298095703125	0.39765766083591886	0.8175785953602178	1.4913608894110835	21144.703125	20127.96484375	19128.294921875	12035.201171875	12608.767578125	13197.962890625	201.18923950195312	207.19927978515625	213.4415283203125	1.65172526106888	0.8175785953602178	0.37679532111524544	21144.703125	20127.96484375	19128.294921875	12035.201171875	12608.767578125	13197.962890625	201.18923950195312	207.19927978515625	213.4415283203125	17.90725946193561	24.39814998069778	33.58160320203751	23.57710327487439	39.57527223974466	45.97454098984599	0.4823529411764706	0.2549019607843137	0.45098039215686275	1.0
23	UKMO-CASIM	1.0434899660773322	0.848012085763007	0.7188121272866757	23247.1875	19976.236328125	16768.763671875	10875.0	12125.0	13625.759765625	210.00767517089844	210.07460021972656	211.0272216796875	0.6617381265699221	0.848012085763007	0.9831731256803559	22316.623046875	19976.236328125	22044.1015625	11125.0	12125.0	11875.0	207.77830505371094	210.07460021972656	226.1492462158203	1.1761819637723059	0.848012085763007	0.5345172897260102	21413.962890625	19976.236328125	19652.25	11375.0	12125.0	12625.0	205.58262634277344	210.07460021972656	219.6417694091797	21.05462917825207	33.6357275955379	49.99162629246712	16.15440851310268	23.596698883920908	34.31314253248274	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
24	UKMO-RA1-T-hrad	1.2713027209650194	0.9381475117736109	0.6920660912267885	25000.125062091527	22435.828684933367	19634.916272185248	10375.0	11375.0	12625.0	212.17505277772736	215.17587573980546	218.75892761978864	0.7357233379602457	0.9381475117736109	1.4024186057186765	23048.10047173541	22435.828684933367	22881.818933507766	10875.0	11375.0	11625.0	207.74691733918942	215.17587573980546	227.38147056010033	1.5489524420240994	0.9381475117736109	0.4805754365881727	25000.125062091527	22435.828684933367	21212.030022036994	10375.0	11375.0	12125.0	212.17505277772736	215.17587573980546	223.06400922159568	18.48197834149788	26.525264313282037	41.09313071142541	13.398875864933533	20.924825669333543	36.21727834002038	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
25	UKMO-RA1-T	1.3232320752875983	1.0680828539299125	0.7115731136943029	24075.68534955821	20086.51645431098	18395.675894991455	10625.0	12125.0	13125.055	210.62787123659498	210.74413548653158	217.7775307404287	0.7344309920617089	1.0680828539299125	1.462972549497455	22182.264660307468	20086.51645431098	21452.190875545683	11125.0	12125.0	12125.0	206.15009626219575	210.74413548653158	226.45114499792243	1.450992073346813	1.0680828539299125	0.5264810732637898	23114.69249695631	20086.51645431098	19880.2956638523	10875.0	12125.0	12625.0	208.36791533956142	210.74413548653158	222.08971543840923	17.15823579022886	32.21504627571135	45.243297874726004	13.744369315620865	19.217884032703402	38.04210919391989	0.8705882352941177	0.6196078431372549	0.8392156862745098	1.0
26	UKMO-RA1-T-nocloud	1.1331157865040522	0.8946233454655744	0.6585988205496016	24055.884765625	20705.0703125	18097.26953125	10625.0	11875.0	13125.0546875	210.65969848632812	211.14816284179688	214.40365600585938	0.6545824662841172	0.8946233454655744	1.3023357346420505	22164.5703125	20705.0703125	21976.681640625	11125.0	11875.0	11875.0	206.25828552246094	211.14816284179688	225.11117553710938	1.3514450403029736	0.8946233454655744	0.47288328026446075	23095.900390625	20705.0703125	20357.228515625	10875.0	11875.0	12375.0	208.43186950683594	211.14816284179688	220.79971313476562	20.126797608099878	32.99335076007992	51.20516289025545	14.95349279139191	22.042141063138843	35.58839380275458	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
